100 / 16-14-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-14-61-12   |16-14-061-12W5M|GAS SUSP|54.282549|-115.682385|company|Carson Creek|comment|Alberta
100 / 16-16-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-16-61-12   |16-16-061-12W5M|GAS SUSP|54.279641|-115.728432|company|Carson Creek|comment|Alberta
100 / 16-02-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-2-61-12    |16-02-061-12W5M|GAS FLOW|54.25231|-115.679728|company|Carson Creek|comment|Alberta
100 / 16-22-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-22-61-12   |16-22-061-12W5M|GAS SUSP|54.296967|-115.702996|company|Carson Creek|comment|Alberta
100 / 16-24-061-13 W5 / 0|ACCEL HOLDINGS CARSON 16-24-61-13   |09-24-061-13W5M|ABDWHP|54.292974|-115.802333|company|Carson Creek|comment|Alberta
100 / 06-25-061-13 W5 / 2|ACCEL HOLDINGS CARSON 16-24-61-13   |09-24-061-13W5M|CR-OIL PUMP|54.292974|-115.802333|company|Carson Creek|comment|Alberta
100 / 16-33-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-33-61-12   |16-33-061-12W5M|WATER ABZONE INJ|54.324971|-115.730337|company|Carson Creek|comment|Alberta
100 / 16-33-061-12 W5 / 2|ACCEL HOLDINGS CARSON 16-33-61-12   |16-33-061-12W5M|WATER INJ|54.324971|-115.730337|company|Carson Creek|comment|Alberta
100 / 16-05-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-5-61-12    |11-08-061-12W5M|CR-OIL PUMP|54.263735|-115.768172|company|Carson Creek|comment|Alberta
102 / 16-05-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-5-61-12    |01-07-061-12W5M|CR-OIL PUMP|54.254131|-115.777719|company|Carson Creek|comment|Alberta
100 / 16-06-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-6-61-12    |16-06-061-12W5M|ABDWHP|54.254104|-115.777896|company|Carson Creek|comment|Alberta
100 / 11-07-061-12 W5 / 2|ACCEL HOLDINGS CARSON 16-6-61-12    |16-06-061-12W5M|CR-OIL SUSP|54.254104|-115.777896|company|Carson Creek|comment|Alberta
100 / 16-06-062-12 W5 / 0|ACCEL HOLDINGS CARSON 16-6-62-12    |16-06-062-12W5M|WATER ABZONE INJ|54.339593|-115.779742|company|Carson Creek|comment|Alberta
100 / 16-06-062-12 W5 / 2|ACCEL HOLDINGS CARSON 16-6-62-12    |16-06-062-12W5M|WATER SUSP INJ|54.339593|-115.779742|company|Carson Creek|comment|Alberta
100 / 16-07-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-7-61-12    |16-07-061-12W5M|CR-OIL SUSP|54.267266|-115.780528|company|Carson Creek|comment|Alberta
100 / 16-09-061-12 W5 / 0|ACCEL HOLDINGS CARSON 16-9-61-12    |04-16-061-12W5M|CR-OIL PUMP|54.269779|-115.747192|company|Carson Creek|comment|Alberta
100 / 02-13-061-12 W5 / 0|ACCEL HOLDINGS CARSON 2-13-61-12    |02-13-061-12W5M|GAS FLOW|54.272004|-115.66398|company|Carson Creek|comment|Alberta
100 / 02-19-061-12 W5 / 0|ACCEL HOLDINGS CARSON 2-19-61-12    |09-24-061-13W5M|CR-OIL PUMP|54.292993|-115.802152|company|Carson Creek|comment|Alberta
100 / 02-20-061-12 W5 / 0|ACCEL HOLDINGS CARSON 2-20-61-12    |02-20-061-12W5M|OBSERV|54.283287|-115.761556|company|Carson Creek|comment|Alberta
